id,name_ru,name_en,type,files,description_ru,description_en
loc_dom_outside,Дом снаружи,House exterior,локация,"loc_dom_outside_front.jpg, loc_dom_outside_aerial.jpg","Двухэтажный дом, светлый фасад, тёмная черепичная крыша, гараж, белый штакетник, клумбы с цветами, хвойные деревья, коттеджный посёлок","Two-story house, light facade, dark shingle roof, garage, white picket fence, flower beds, pine trees, suburban cottage neighborhood, 3D Pixar-style"
loc_ulica,Улица посёлка,Village street,локация,loc_dom_outside_aerial.jpg,"Коттеджный район, разные дома (жёлтые, белые, с красной крышей), асфальтированные дороги, клумбы, деревья, автомобили","Cottage neighborhood, varied houses (yellow, white, red roof), paved roads, flower beds, trees, cars, 3D Pixar-style"
loc_besedka,Беседка,Gazebo,локация,loc_besedka_inside.jpg,"Деревянная беседка с крышей, стол и стулья из дерева, вид на соседние дома и сад, цветущие кусты вокруг","Wooden gazebo with roof, wooden table and chairs, view of neighboring houses and garden, flowering bushes, 3D Pixar-style"
loc_kabinet,Кабинет отца,Father study,локация,"loc_kabinet_full.jpg, loc_kabinet_bookshelf.jpg, loc_kabinet_corner.jpg, loc_kabinet_desk_wide.jpg, loc_kabinet_desk_closeup.jpg","Тёмная комната, массивный стол из тёмного дерева, кожаное кресло, книжные шкафы с книгами и микроскопом, ноутбук, стопки бумаг, настольная лампа с абажуром, жалюзи на окне, тёплый приглушённый свет","Dark room, massive dark wood desk, leather armchair, bookcases with books and microscope, laptop, paper stacks, table lamp with shade, window blinds, warm dim lighting, 3D Pixar-style"
loc_komnata_amin,Комната Амина,Amin room,локация,"loc_amin_room_full.jpg, loc_amin_room_bed.jpg, loc_amin_room_desk.jpg","Серо-голубые стены, синие шторы, синий плед на кровати, серебряные подушки, светлая деревянная мебель, рабочий стол с ноутбуком, полки с роботами и книгами по физике, контейнеры с деталями","Gray-blue walls, blue curtains, blue bedspread, silver pillows, light wood furniture, desk with laptop, shelves with robots and physics books, parts containers, 3D Pixar-style"
loc_garazh,Гараж,Garage,локация,"loc_garazh_inside.jpg, loc_garazh_outside.jpg, loc_garazh_sheet.jpg","Просторный гараж с секционными воротами, верстак с инструментами, перфорированная панель с ключами и отвёртками, велосипеды, стеллажи с контейнерами, банки с краской, люминесцентное освещение","Spacious garage with sectional door, workbench with tools, pegboard with wrenches and screwdrivers, bicycles, shelving with containers, paint cans, fluorescent lighting, 3D Pixar-style"
loc_gostinaya,Гостиная,Living room,локация,,"Просторная комната с большими окнами во двор, диван, кресла, книжные полки, телевизор, объединена с обеденной зоной, бежево-древесные тона","Spacious room with large windows, sofa, armchairs, bookshelves, TV, combined with dining area, beige-wood tones, warm lighting, 3D Pixar-style"
loc_kuhnya,Кухня,Kitchen,локация,,"Бежево-фисташковые оттенки, деревянная мебель, арочное окно, фрукты на столе, чайник, уютная рабочая кухня","Beige-pistachio tones, wooden furniture, arched window, fruits on table, kettle, cozy working kitchen, 3D Pixar-style"
loc_komnata_tako,Комната Тако,Tako room,локация,,"Зелёный и тёплый беж, футбольные постеры, форма, мяч в углу, игрушки, энергичная и живая","Green and warm beige, football posters, jersey, ball in corner, toys, energetic and lively, 3D Pixar-style"
loc_komnata_aya,Комната Аи,Aya room,локация,,"Светло-сиреневый, романтический стиль, мольберт, альбомы, краски, рисунки на стенах, аккуратная","Light lilac, romantic style, easel, albums, paints, drawings on walls, tidy, 3D Pixar-style"
loc_zadniy_dvor,Задний двор,Backyard,локация,,"Закрытый задний двор, беседка, газон, фруктовые деревья, кусты ягод, грядки, уютное семейное пространство","Enclosed backyard, gazebo, lawn, fruit trees, berry bushes, garden beds, cozy family space, 3D Pixar-style"
loc_shkola,Школа,School,локация,,"Школьное здание с разными корпусами, двор, спортивная площадка, светлые классы","School building with different wings, yard, sports field, bright classrooms, 3D Pixar-style"
loc_prihozhaya,Прихожая,Hallway,локация,,"Небольшая прихожая, шкаф для одежды, полки для обуви, коврик, зеркало на стене, рюкзаки","Small hallway, coat closet, shoe shelves, doormat, wall mirror, backpacks, 3D Pixar-style"
