id,name_ru,name_en,type,file_full,file_face,file_extra,description_ru,description_en
char_amin,Амин,Amin,персонаж,char_amin_full.png,char_amin_face.png,char_amin_sheet.png,"15 лет, тёмные волнистые волосы до плеч, карие глаза, серая худи, чёрные штаны, белые кроссовки, стройный, высокий","15yo boy, dark wavy shoulder-length hair, brown eyes, gray hoodie, black pants, white sneakers, slim, tall, 3D Pixar-style animation"
char_aya,Ая,Aya,персонаж,char_aya_full.png,,,"12 лет, розовое длинное платье, тёмно-синий полосатый хиджаб, карие глаза, белые кроссовки, стройная","12yo girl, pink long dress, dark blue striped hijab, brown eyes, white sneakers, slim, 3D Pixar-style animation"
char_tako,Тако,Tako,персонаж,char_tako_full.png,,char_tako_full2.png,"7 лет, кудрявые каштановые волосы, бордовая кепка задом наперёд, красно-белая полосатая футболка, джинсы, чёрные кроссовки, немного пухленький, большие карие глаза","7yo boy, curly brown hair, burgundy backwards cap, red-white striped t-shirt, jeans, black sneakers, slightly chubby, big brown eyes, 3D Pixar-style animation"
char_mama,Мама,Mama,персонаж,char_mama_full.jpeg,char_mama_face.png,char_mama_full2.jpeg,"Мама семьи, чёрный хиджаб и чёрное длинное платье (абая), карие глаза, тёплая улыбка, среднего телосложения","Mother of the family, black hijab and black long dress (abaya), brown eyes, warm smile, medium build, 3D Pixar-style animation"
char_papa,Папа,Papa,персонаж,char_papa_full.jpeg,char_papa_face.jpeg,,"Папа семьи, физик, тёмные волосы с проседью, густая борода с проседью, круглые очки, чёрная водолазка, синие брюки, чёрные ботинки, высокий","Father of the family, physicist, dark hair with gray, thick graying beard, round glasses, black turtleneck, blue pants, black shoes, tall, 3D Pixar-style animation"
char_karim,Карим,Karim,персонаж,char_karim_full.jpeg,char_karim_face.jpeg,,"15 лет, друг Амина, короткие каштановые волосы, карие глаза, чёрная худи с белой звездой, джинсы, белые кроссовки, серьёзное выражение лица","15yo boy, Amin's best friend, short brown hair, brown eyes, black hoodie with white star, jeans, white sneakers, serious expression, 3D Pixar-style animation"
char_rami,Рами,Rami,персонаж,char_rami_full.jpeg,,,"7-8 лет, друг Тако, короткие чёрные волосы, карие глаза, зелёная худи, коричневые карго-штаны, синие кеды","7yo boy, Tako's friend, short black hair, brown eyes, green hoodie, brown cargo pants, blue sneakers, 3D Pixar-style animation"
char_hasan,Хасан,Hasan,персонаж,char_hasan_full.jpeg,,,"7-8 лет, друг Тако, русые волосы, зелёные глаза, голубая поло, наушники на шее, серые джинсы, красные кеды","7yo boy, Tako's friend, light brown hair, green eyes, light blue polo shirt, headphones around neck, gray jeans, red sneakers, 3D Pixar-style animation"
char_samir,Самир,Samir,антагонист,,,char_samir_sheet.jpeg,"14-15 лет, антагонист, растрёпанные каштановые волосы, веснушки, хмурый взгляд, тёмно-серая худи, перчатки без пальцев, тёмные джинсы, чёрные кеды","14yo boy, antagonist, messy brown hair, freckles, scowling expression, dark gray hoodie, fingerless gloves, dark jeans, black sneakers, 3D Pixar-style animation"
char_shaki,Шаки,Shaki,антагонист,,,char_shaki_sheet.jpeg,"14-15 лет, антагонист, растрёпанные чёрные волосы, хитрая ухмылка, карие глаза, чёрная худи, чёрные спортивные штаны, бинт на правом запястье, чёрные кроссовки","14yo boy, antagonist, messy black hair, sly smirk, brown eyes, black hoodie, black sweatpants, bandaged right wrist, black sneakers, 3D Pixar-style animation"
